player,stock,percent,position x,position y,character,action,action frame,facing,shield_strength,jumps_left,on_ground,invulnerable,speed air x self,speed ground x self,speed x attack,speed y attack,speed y self
2,4,12,46.078125,1e-04,Character.FALCO,Action.ROLL_FORWARD,17,True,60.0,2,True,True,1.9264126,1.9264126,0.0,0.0,0.0
1,4,24,28.996527,1e-04,Character.FOX,Action.TURNING,6,True,60.0,2,True,False,0.0,0.0,0.0,0.0,0.0
2,4,12,47.977917,1e-04,Character.FALCO,Action.ROLL_FORWARD,18,True,60.0,2,True,True,1.8997917,1.8997917,0.0,0.0,0.0
1,4,24,28.996527,1e-04,Character.FOX,Action.TURNING,7,True,60.0,2,True,False,0.0,0.0,0.0,0.0,0.0
2,4,12,49.84772,1e-04,Character.FALCO,Action.ROLL_FORWARD,19,True,60.0,2,True,True,1.8698044,1.8698044,0.0,0.0,0.0
1,4,24,28.996527,1e-04,Character.FOX,Action.TURNING,8,True,60.0,2,True,False,0.0,0.0,0.0,0.0,0.0
2,4,12,51.684166,1e-04,Character.FALCO,Action.ROLL_FORWARD,20,False,60.0,2,True,False,1.8364468,1.8364468,0.0,0.0,0.0
1,4,24,28.996527,1e-04,Character.FOX,Action.TURNING,9,True,60.0,2,True,False,0.0,0.0,0.0,0.0,0.0
2,4,12,53.33423,1e-04,Character.FALCO,Action.ROLL_FORWARD,21,False,60.0,2,True,False,1.6500626,1.6500626,0.0,0.0,0.0
1,4,24,28.996527,1e-04,Character.FOX,Action.TURNING,10,True,60.0,2,True,False,0.0,0.0,0.0,0.0,0.0
2,4,12,54.668846,1e-04,Character.FALCO,Action.ROLL_FORWARD,22,False,60.0,2,True,False,1.3346176,1.3346176,0.0,0.0,0.0
1,4,24,28.996527,1e-04,Character.FOX,Action.TURNING,11,True,60.0,2,True,False,0.0,0.0,0.0,0.0,0.0
2,4,12,55.72061,1e-04,Character.FALCO,Action.ROLL_FORWARD,23,False,60.0,2,True,False,1.0517654,1.0517654,0.0,0.0,0.0
1,4,24,28.996527,1e-04,Character.FOX,Action.STANDING,1,True,60.0,2,True,False,0.0,0.0,0.0,0.0,0.0
2,4,12,56.52213,1e-04,Character.FALCO,Action.ROLL_FORWARD,24,False,60.0,2,True,False,0.8015175,0.8015175,0.0,0.0,0.0
1,4,24,28.996527,1e-04,Character.FOX,Action.STANDING,2,True,60.0,2,True,False,0.0,0.0,0.0,0.0,0.0
2,4,12,57.106,1e-04,Character.FALCO,Action.ROLL_FORWARD,25,False,60.0,2,True,False,0.58386993,0.58386993,0.0,0.0,0.0
1,4,24,28.996527,1e-04,Character.FOX,Action.STANDING,3,True,60.0,2,True,False,0.0,0.0,0.0,0.0,0.0
